agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
DEPARTMENT FOR THE AGING,,Client Information,1986,"This system processes information collected on New York City's elderly population who are served by the Department's 400+ service providers. The processed information is used for both Federal, State, and City reporting and for use by DFTA's Research and Planning units.","Program reports (Individu,l client data is confidential), demographic statistics, research/planning, federal/state reimbursements.",,,,19
DEPARTMENT FOR THE AGING,,Grants Management,1989,"This system controls, by Cost Center, the bUdgets and expenses for each of the Department's 400+ service providers. The system ensures that prompt reimbursements occur each month to these service organizations to assure continuous cash flow for necessary purchases of provisions, staples, goods, and other materials.","Miscellaneous statistics, grants/specific funded programs, federal/state grants, service contractors, contractor directory.",,,,19
DEPARTMENT FOR THE AGING,,HEAP VI,1984,This System assists eligible senior citizens to apply for the Home Energy Assistance Program (HEAP) which pays for some or all of a senior's home heating bills. The HEAP program is State funded and administered by DFTA for New York city's elderly population.,"Home Energy Assistance Program (HEAP), administrative reports, cash grants, client directory (Individual Client data is confidential), vendor payments, revenue/expenditure statistics.",,,,20
DEPARTMENT FOR THE AGING,,Performance Based System (PBS),1984,"This system controls, by unit cost, the Home Care services provided by each of the DFTA's Home Care providers. Reimbursement to providers is based on the number of Home Care units delivered each month mUltiplied by the agreed-upon cost for each Home Care unit. Home Care services are the only services which require a unit Cost and for which reimbursement is based on a provider's performance of service delivery.","Contractor payments, federal/state reimbursements, federal/ state grants, service contractors.",,,,20
DEPARTMENT OF BUILDINGS,,Billing and Aging Report,12/85,"This program produces a citywide summary report by month and year, of all billings and collections for the Department of Buildings. It includes elevators, boilers and public assembly inspections as well as illuminated sign permits.",Fee collections/accountings,,,,22
DEPARTMENT OF BUILDINGS,,BIS-Accounting Module,12/85,"This module processes and accounts for fees and fines collected by DOB for filings, permits, licenses, certificates and other processing fees, and produces reports for management analysis.","Management reporting, lock boxes, fine collections/accounting, building modifications/repairs, building licenses, building demolitions, building constructions, building applications/ certificates/permits, financial reporting, fee collections/ accounting, financial accounting.",,,,22
DEPARTMENT OF BUILDINGS,,BIS-Application Processing Module,1989,"This module collects the necessary information for processing all applications for new construction, various types of repairs and alterations, demolitions, signs, plumbing repairs, and subdivisions.","Building modifications/repairs, building demolitions, building constructions, building code inspections/violations, building applications/certificates/permits, fee collections/accounting.",,,,22
DEPARTMENT OF BUILDINGS,,BIS-Complaint Tracking Module,1989,"This system records and tracks all complaints from city officials, community Boards and the public regarding various conditions at building work sites and at existing structures.","Public complaints, accidents, building constructions, building demolitions, building modifications/repairs, other complaints, building/structure inspections, management reporting.",,,,23
DEPARTMENT OF BUILDINGS,,BIS-Pre-Filing/Fee Estimation,1989,This module handles the initial intake of work permit applications into the BIS System and computes fees for work to be performed. The module is also used for fee adjustments and building cluster processing.,"Management reporting, building applications/certificates/ permits, building demolitions, building constructions, miscellaneous billings.",,,,23
DEPARTMENT OF BUILDINGS,,BIS-Landmarks Module,1989,The module is the direct on-line link between the Landmarks Preservation Commission and the Department of Buildings. It allows LPC to designate properties directly on DOB's database.,", Landmark structures, landmark sites, management reporting.",,,,23
DEPARTMENT OF BUILDINGS,,BIS-Permit Issuance Module,1989,"Permits for new construction, alterations, demolitions, equipment use, foundations and signs are issued in this module. All remaining fees and civil penalties are collected here.","Building modifications/repairs, building licenses, building demolitions, building constructions, building code inspections/ violations, building applications/certificates/permits, finance licenses/permits, fee collections/accounting.",,,,24
DEPARTMENT OF BUILDINGS,,BIS-Plan Examinations Module,1989,"In this module, items required to satisfy the plan examination are tracked and recorded. Applications can be approved for permit(s) at this time, or rejected until all necessary documentation is in order.","Building applications/certificates/permits, building demolitions, building constructions, building modifications/ repairs, city planning licenses/permits, city streets/ addresses/zoning/election districts/political subdivisions/ community boards, land use, landmark sites, landmark structures, management reporting.",,,,24
DEPARTMENT OF BUILDINGS,,BIS-property Profile Tracking Module,1989,"This module tracks a wide variety of information for every building in the five boroughs, inclUding geographical data, all applications processed and permits received, violations, owner­ ship data, landmarks designations, land use and finance data.","Building applications/certificates/permits, building constructions, building code inspections/violations, building demolitions, building modifications/repairs, address directory, geographics/maps, land use, landmark sites, landmark structures, management reporting, city owned properties, property owners.",,,,24
DEPARTMENT OF BUILDINGS,,Boiler and Elevator Periodic Reinspection,3/85,Reinspection of Boilers and Elevators that were in violation of the building codes. These reinspections are billed.,"Public safety inspections, building code inspections/ violations, miscellaneous billings.",,,,25
DEPARTMENT OF BUILDINGS,,Boiler Inspection Billing system,12/82,Tracks the annual inspection and billing of boilers.,"Miscellaneous billings, public safety inspections, building code inspections/violations.",,,,25
DEPARTMENT OF BUILDINGS,,Boiler Inspection Routing and Query system,2/85,This is an on-line system which produces routing of periodic boiler inspections and monitors inspection dispositions.,"Public safety inspections, miscellaneous billings, building code inspections/violations.",,,,25
DEPARTMENT OF BUILDINGS,,Construction site safety System,6/85,Tracks compliance with safety codes for high rise construction of new buildings within the city.,"Building constructions, noise complaints/violations.",,,,25
DEPARTMENT OF BUILDINGS,,Electrical Control Inspection System,4/85,"This system tracks the flow of Bureau of Electrical Control (BEC) Applications for electrical work from initiation through inspection and certificate issuance, including generation of work permits and violation notices. System calculates and tracks fees and generates monthly accounting/billing statements. Modules handle ""tracking"" of electricians and corporations, licensing, geo-graphical inspector routing and information center activities.","Building code inspections/violations, electrical licenses/ permits, miscellaneous billings, public safety inspections.",,,,26
DEPARTMENT OF BUILDINGS,,Elevator Inspection Billing system,12/82,"This batch system generates bills for the periodic inspection of elevators, which are inspected and billed twice a year.","Miscellaneous billings, public safety inspections, building code inspections/violations.",,,,26
DEPARTMENT OF BUILDINGS,,Loft system,12/83,Tracking of all lofts in the City of New York. Used to determine if loft complied with regulations or if violations were issued.,Loft board licenses/permits.,,,,26
DEPARTMENT OF BUILDINGS,,Environmental Control Board,1987,This module is an interface between DEP's BARAHIS system and BIS. All ECB construction violations are down loaded nightly from DEP's violation tracking system and updated on BIS.,"Management reporting,"" structural non-compliance summons.",,,,27
DEPARTMENT OF BUILDINGS,,Management Report,1986,summarizes operating performance by aggregate productivity and production within agency operating divisions.,"Miscellaneous statistics, research/planning, management reporting, public safety inspections, building/structure inspections, other complaints, building code inspections/ violations, building applications/certificates/permits.",,,,27
DEPARTMENT OF BUILDINGS,,Illuminated sign Permit and Fee Billing System,12/84,This is a batch program that bills and produces illuminated sign permits for all the illuminated signs in the 5 boroughs.,"Miscellaneous billings, fee collections/accounting, public safety inspections.",,,,27
DEPARTMENT OF BUILDINGS,,On-line Elevator Billing System,1988,Routes and monitors inspection dispositions associated with the inspection of elevator devices. Provides for the hilling of periodic inspections.,"Building code inspections/violations, public safety inspections, miscellaneous millings.",,,,28
DEPARTMENT OF BUILDINGS,,Local Law 5 - Low Rise Buildings,4/84,Tracking of all buildings below 100 ft. that had to comply with sprinkler requirements set forth in Local Law 5.,"Inspection reports, pUblic safety inspections, local law compliance inspections, city managed properties.",,,,28
DEPARTMENT OF BUILDINGS,,Local Law 5 of 73 - High Rise Buildings,1982,Tracking of all buildings over 100 ft. that had to comply with sprinkler requirements set forth in Local Law 5.,"Safety non-compliance summons, public safety inspections, local law compliance inspections, inspection reports.",,,,28
DEPARTMENT OF BUILDINGS,,Local Law 10/80,1982,"compliance tracking of all buildings over 6 stories, whose owners are required to arrange for a facade inspection by a registered architect or professional engineer every 5 years. A report of the inspection must be filed with the Department.","Inspection reports, public safety inspections, local law compliance inspections, safety non-compliance summons, structural non-compliance summons.",,,,29
DEPARTMENT OF BUILDINGS,,Local Law 41 of 78,3/83,Tracking of all F4C (CABARETS) in the City of New York to monitor compliance with requirements set forth in Local Law 41.,"city managed properties, public safety inspections, local law compliance inspections, inspection reports.",,,,29
DEPARTMENT OF BUILDINGS,,Local Law 16 of 84,8/87,This module of the BIS system tracks the compliance of properties subject to Local Law 16/84 - Fire Safety.,"Local law compliance inspections, safety non-compliance summons.",,,,29
DEPARTMENT OF BUILDINGS,,On-Line Mandatory Elevator Inspection Tracking system,1988,All elevators must be inspected by a private company once a year and the company files a report with the Department. Owners of buildings for which no report is received are subject to violation and fines.,"Building code inspections/violations, public safety inspections, public facilities inspections.",,,,30
DEPARTMENT OF BUILDINGS,,Plumbing Licensing System,1983,"Tracks and issues licenses to plumbers, and private elevator inspectors, sign hangers, and fire suppression.",Plumbing licenses.,,,,30
DEPARTMENT OF BUILDINGS,,Public Assembly Permit Billing System,5/85,Pais are inspected annually for public safety. A permit is issued to those that pass the inspection and a permit fee is billed.,"Public facilities inspections, public safety inspections, building code inspections/violations, miscellaneous billings. ----------1I AGENCY: Department of Buildings Page 10 of 10 I",,,,30
DEPARTMENT OF BUILDINGS,,Saturday Variance,4/85,Tracking of work permits which allow a Contractor to work after the normal working hours and on weekends when such activities serve to protect the public.,". Building constructions, noise complaints/violations.",,,,31
DEPARTMENT OF BUSINESS SERVICES,,Company Tracking System,1987,This is an agency wide database that tracks contacts that we have had with businesses requesting our services.,"Company tracking system, business listing, management reporting.",,,,33
DEPARTMENT OF BUSINESS SERVICES,,Procurement Outreach Program,1987,This database contains information on companies and the commodities they offer for sale.,"Vendor directory, contract tracking, eligibility control, client tracking.",,,,33
DEPARTMENT OF BUSINESS SERVICES,,Bonding Technical Assistance,1990,This is a listing of contractors who requested services from this agency and were assisted.,"Business listing, vendor listing, contractor directory, client tracking, financial statistics.",,,,33
DEPARTMENT OF BUSINESS SERVICES,,Energy Cost Savings Program,1991,This is a tracking system of businesses that are receiving the benefits that this program provides.,"Business listing, financial/demographic statistics, client tracking.",,,,34
DEPARTMENT OF BUSINESS SERVICES,,Economic Development Zones,1991,A listing of businesses in the 4 currently defined EDZs that are eligible for services administered by this agency.,"Business listing, demographic/financial statistics, client tracking.",,,,34
DEPARTMENT OF BUSINESS SERVICES,,Local Development corporations,1988,This is a listing of the LDCs throughout the city and the boundaries for the areas that they administer.,Business listing.,,,,34
DEPARTMENT OF BUSINESS SERVICES,,Contractor Workforce Analysis,,This is a database of demographic data concerning the labor force of the companies that do business with the city.,"Demographic statistics, population statistics, equal employment opportunity records/statistics, contractor directory.",,,,34
DEPARTMENT OF BUSINESS SERVICES,,"Division of Economic , Financial opportunity (DEFO) certified companies",1987,"This is a tracking system to follow up certification processing of companies that are eligible for DEFO services, and is used to produce a directory of certified firms for distribution to procurement officers.","Application processing, business listing, vendor directory, commodities directory, mailing directories.",,,,35
DEPARTMENT OF BUSINESS SERVICES,,DEFO Contract Compliance,1992,This is a database that tracks contracts that are awarded by City agencies to DEFO certified firms.,"Contractor directory, contractor payments, services contracts, purchase contracts.",,,,35
DEPARTMENT OF BUSINESS SERVICES,,Integrated Work Permits/Inspection System,,This is a database that contains information regarding inspections that were performed and violations that were issued for certain building sites.,"Building applications/certificates/permits, buildings/ structures inspections, building code inspections/violations, environmental inspections/violations, public facilities inspections, quality control inspections, inspection reports, fee collections/accounting, building construction, building demolition, building modifications , repairs. -----~----II AGENCY: Department of Business Services Page 4 of 4 I",,,,35
DEPARTMENT OF BUSINESS SERVICES,,Parking Violations,,This is a listing of parking violations that were issued by this agency on sites that are inspected by our staff.,Parking summons.,,,,36
DEPARTMENT OF BUSINESS SERVICES,,"Criminal, Violations",,This is a tracking system for summonses and violations that this office issues.,"Summons processing, violations tracking, inspections tracking, crimes.",,,,36
DEPARTMENT OF BUSINESS SERVICES,,Wharfage,,This is a database that is used for registering charges accrued by vessels tying up at city owned wharfage sites.,Tenant accounting.,,,,36
DEPARTMENT OF BUSINESS SERVICES,,Film site Permits,,This is a database that tracks permits issued and related fees collected for filming sites in New York City.,"Film permits, motion pictures, fee collection.",,,,36
NEW YORK CITY CAMPAIGN FINANCE BOARD,,campaign Finance Information System (IICFISII),1989,"This system stores participating candidates' financial information as reported to the Campaign Finance Board by the campaign committees. This system is used to calculate public fund payments to qualifying candidates, monitor compliance with the Program's contribution and expenditure limits, public disclosure and other requirements, and assist the Board in conducting desk and field audits of candidates' campaigns. For public disclosure purposes, CFIS enables the Board to produce alphabetized reports of the campaign financial data candidates report to the Board. For hundreds of participating candidates for the 1989 and 1991 elections, CFIS was used to prepare the following public disclosure reports which are available at the Board's Offices: 1) by contributor Name, 2)by contributor Employer Name, 3)by Intermediary Name, and 4)by Payee/vendor name.","1) CONTRIBUTIONS: a) contributor name and address, b) name and address of contributor's employer, if supplied, c) intermediary name and address, if supplied, d) date the contribution was received and the statement it was reported on, e) amount of contribution and, f) amount of contribution claimed by candidate as ""matchable"" or for purposes of meeting the threshold. 2) EXPENDITURES: a) payee name, b) expenditure date and c) amount and purpose of the expenditure. AVAILABILITY NOTE: Available to the public. Please note that from election to election the fields and organization of the database may vary, as a result of changes in the campaign Finance Act, the campaign Finance program's reporting requirements, and enhancements to the computer system.",,,,38
DEPARTMENT OF CITY PLANNING,,"GEOSUPPORT XNFORMATXON SYSTEM (GXS) , RELATED",CARTOGRAPHXC FXLES 1982,"The Geosupport Information system (GIS) is an integrated computer system of software and files that supports many of the geographic processing needs common to New York City agencies ' applications. It is accessed directly by other City computer applications on an IBM mainframe. The data files in GIS are, specially structured to be accessed directly only through the GIS software. However, the data are accessible in the form of printed address directories, computer generated printed maps and a microcomputer-usable format on floppy disks that are for sale to the public.","The following are available for purchase through the Department of City Planning Bookstore, 22 Reade st., New York, NY 10007. Tele: [212] 720-3667. 1. Address Directories by Borough: A Borough Address Directory shows, for each street, the address range on each block face, and the corresponding 1980 census tract, 1990 census tract, Zip code, Community District, School District, Police Precinct, and Health Areas. There are also entries for alternative street names and some street name spelling variants. 2. Printed Computer Generated Maps: 1990 Census Tract maps are available as a citywide map at, a scale of 1 inch =4,000 feet and for each borough at 1 inch =2,000 feet. (Note: These maps depict the census geography only, not demographic data). 1990 Census Tract and Census Block maps are available at a scale of 1 inch =600 feet. A set of 44 sectional maps shows census tract boundaries and numbers, census block numbers, and street names. (Note: These maps depict the census geography only, not demographic data). City-owned and leased property from the 1991 Atlas of City Property: These 22 maps show all property that is owned and leased by the city of New York at a scale of 1 inch = 800 feet. Symbols depict properties hy use codes defined in the legend with an abbreviated description of the property. Tax Block and Lot Maps are available as a booklet for each community district (except Staten Island). These publications contain detailed maps at a scale of 1 inch = 250 feet showing block outlines and number, and tax lot outlines and numbers. 3. cartographic Files on'Floppy Disks--Bytes of the Big Apple (TM). Tax Block Files in DXF (TM) format for use with microcomputers running DOS. These have tax block outlines, tax block numbers and street names. They can he used with any CAD or mapping software that can import DXF files. Tax Block files in Illustrator 88 (TM) format for use on Apple MacIntosh (R) computers. 'These files have tax block outlines, tax block numbers and street names. They can only he used with Adobe Illustrator 88 (TM) •• software. LION single Line.street Base Map Files in Maplnfo ~ format for use with DOS operating system. These files have the city'S street geography on seven floppy disks. The files contain street names, address ranges and geographic locations expressed in New York East State Plane Coordinates. These files can only he used with MapInfo (R) •••software. • Bytes of the Big Apple is a trademark of the Department of City Planning • •• Illustrator 88 is a trademark of Adobe System, Inc. •••MapInfo is a registered trademark of the MapInfo corporation.",,,,40
DEPARTMENT OF CITY PLANNING,,LAND USE MANAGEMENT INFORMATION SYSTEM (LUMIS),1987,"LUMIS tracks ULURPand non-ULURP applications from receipt hy the Department of City Planning through final review hy the City Planning Commission, City Council and the Mayor.","Application number; applicant; description of what application is for; type of application; location; address; community district(s); project name; fees collected; zoning map number; zoning resolution sections; related ULURP applications and CEQR information; and key dates and actions such as date received, date certified, and votes by community boards, borough presidents, City Planning Commission, and the City council. The data resides in a mainframe database system.",,,,41
DEPARTMENT OF CITY PLANNING,,"MXSLAND,",1979,"MISLAND is a report generation system used to obtain recent and historical land use, housing and population data about the City'S neighborhoods. Users may choose from over thirty standard report formats. Most of the data originates from other city agencies and is processed by City Planning for the MISLAND system.","Vacant structures; residential structures' vacancy rates; land use; property transactions; real estate tax arrearage; city owned and leased property inclUding property name and address, use, and responsible agency; residential construction, conversions and demolitions; land use acreage; building floor area; housing unit changes; assessed values; property market values; property address and location; property owner's name; building and lot dimensions; property sales aggregations; and selected 1970, 1980 and 1990 Census information -including housing, demographic, social and economic Characteristics.",,,"customized report(s) will be produced. Users must request the report name and list their geography either by Community District(s), census tract(s), or tax block(s) depending upon the report requested. Users may request a special report title and selection criteria such as year(s) of data, building classes, and summary criteria depending upon the requested report's available options. The charge per report is $25 for the first 100 pages and $10 for each additional 100 pages. MISLAND User's Manuals are available by calling (212) 720-3587.",42
DEPARTMENT OF CITY PLANNING,,HOUSING DATABASE,1980,"The Housing Database is a centralized and standardized source of information on city, state, federal and quasi-governmental housing and insurance programs. Its a historical file and contains data relevant to the housing's geographic location and physical characteristics; and information pertaining to the specific housing programs that fund or have funded the site. The data originates from other city, state and federal agencies and are processed by Cits Planning for the Housing Database.",Address; community district; tax block and lot; census tract and block; project name; number of stories; units; housing program name; type of program; program status; milestone dates; and government and private monies. The data resides in a mainframe database system.,,,"Upon written request, a Master Housing Database community District Report will be produced for each community district that mas been requested. This report lists all buildings in the Housing Database by taxblock and lot, and inclUdes the building address, current number of units, and all housing programs that have or are currently funding the building and their most recent status and status date. Each report will contain information on a single community district. The cost is $25.00 for the first 100 pages, and $10 for each additional 100 pages of a report.",43
DEPARTMENT OF CITY PLANNING,,SELECTED PUBLIC FACILITIES FILE,1969,", FBI Index presents the seven FBI Index crimes on a quarterly basis by crime type, police precinct and community district and citywide rank order. Data originate with the New York City Police Department.","Type of crime, police precinct, community district, borough total and citywide rank order for each crime type. The database resides on the CDCSA mainframe.",,,,43
DEPARTMENT OF CITY PLANNING,,FIRE :INCIDENTS AND MALICIOUS FALSE ALARK REPORTS,IVATED: 1971,"Fire reports present annual data for fire fighting and emergency treatment activities by the Fire Department. Data originate with the New York City Fire Department. DATA CONTENTS structural fires, non-structural fires and emergencies, fire company area, community district, borough and citywide totals. The data resides on CDCSA mainframe.",,,,,44
DEPARTMENT OF CITY PLANNING,,IMMIGRATION DATA,1988,"Data from the annual tape files of the Immigration and Naturalization Service (INS) on new immigrants, defined as persons who have obtained status as permanent residents. ----------1I AGENCY: Department of City Planning Page 6 of 9 I","Data on the characteristics of immigrants include their age, sex, occupation and ZIP code of intended residence. The database resides on CDCSA mainframe.",,,,44
DEPARTMENT OF CITY PLANNING,,COMMUNITY DISTRICT PROFILES OF POPULATION AND HOUSING CENSUS DATA,1992,"Data are from the full count 1990 Census summary Tape Files for the city, the five boroughs and all 59 community districts.","A comprehensive list of variables from the full-count census questionnaire are included- age, sex, race and Hispanic origin, household and family type, and living arrangements among others. The database resides on CDCSA mainframe.",,,,45
DEPARTMENT OF CITY PLANNING,,POPULATION AND HOUSING CENSUS DATA FOR SELECTED SERVICE DISTRICTS,1992,"These reports provide selected data from the results of the full-count 1990 summary Tape Files for Health Areas, Health Center Districts, Councilmanic districts, Police precincts, School districts, and other geographic service areas.","A comprehensive list of variables from the full-count census questionnaire are included--age, sex, race and Hispanic origin, household and family type, and living arrangements among others. The database resides on CDCSA mainframe. ----------1I AGENCY: Department of City Planning Page 7 of 9 I",,,,45
DEPARTMENT OF CITY PLANNING,,SOCIOECONOMIC DATA FROM THE 1990 CENSUS,1992,"The data will be prepared as a series of summary Tape File 3 tabUlations which will provide city, borough and census tract distributions for the highest demand items in the decennial census. Tabulations will also be prepared for Health Areas and Health Center Districts. Community District tabUlations, along with those for other service areas, will be completed during the second half of 1992.","A comprehensive list of variables from the sample-count census questionnaire will be included-income, poverty status, education, journey to work, labor force status, occupation, industry and selected housing Characteristics. The database resides on CDCSA mainframe.",,,,46
DEPARTMENT OF CITY PLANNING,,DEMOGRAPHIC AND SOCIOECONOMIC DATA FROM THE 1980 CENSUS,1985,"These data have been prepared as a series of summary Tape File 3 tabulations for the City, boroughs, community districts and other selected service districts (e.q., health areas). Data are presented in both profile form for basic items and in detailed cross-tabulations. There are special cross­ classifications by race and Hispanic origin.",The large majority of variables in the 1980 Census have been compiled and cross- tabulated. Tabulations have been designed to address a multitude of specific issues of concern to city agencies. The database resides on CDCSA mainframe.,,,,46
DEPARTMENT OF CITY PLANNING,,SCHOOL ENROLLMENT PROJECTIONS FXLE,1979,"The Selected School Enrollment projections File contains annual five- and ten-year public school enrollment projections for kindergarten grade through 9th grade by school district, and by borough for high schools. These total projections are related to existing and projected school capacity to identify potential shortfalls and the need for additional school seats. The projections are based on data files obtained from the New York City Board of Education and the State Education Department.","The data are presented by year, school level, school district, borough and city, numerical projections, grade-to-grade survival rates. The data resides in a mainframe data file maintained by the Social and Education Planning Division. The projections are used within the agency.",,,Projection components or summaries are available and are published in the text accompanying the City'S biennial 10-Year capital Strategy.,47
DEPARTMENT OF CITY PLANNING,,RESIDENTIAL FACXLITIES XN NEW YORK CXTY,1990,"The Residential Facilities database contains listings and other information for the following types of residential facilities: (1) residential health care, (2) correctional, (3) small residential care and temporary housing, (4) large temporary and transitional housing and (5) large residential care. These data are based on records and files of other city agencies and state agencies as well as those of City Planning.","Facility name, address, tax block and lot, community district, type of facility and number of beds. The data resides in a mainframe data file maintained by the Social and Education Planning Division. ----------1I AGENCY: Department of City Planning Page 9 of 9 I",,,"All the information plus summary statistical tables are published annually in a report called, Residential Facilities in New York City, which is available at the city Planning Bookstore, 22 Reade Street, New York, 10007.",47
DEPARTMENT OF CITY PLANNING,,POST CENSAL DEMOGRAPHIC ESTIMATES,1986,"Post-censal population estimates, birth and death projections are developed as needed to provide the necessary inputs for planning studies and analyses.","Current estimates and projections of total population by age, race and Hispanic origin according to sub-areas of the city (borough, community district); anticipated levels of births and deaths; and other variables such as housing or labor force are estimated or projected. The bulk of the data is stored in a mainframe computer system.",,,,48
DEPARTMENT OF CITY PLANNING,,FISCAL' GRANTS MANAGEMENT,1986,"Reimbursement vouchers from federal and state grantors; supporting schedules (hourly rates, overhead/OTPS costs analyses); project management reporting; budget estimates; grant applications, etc.",Budget/cost data derived from NYC's OMB-adopted expense/revenue bUdgets and NYMTC-approved project budgets/work programs for various years. The data reside on CDCSA mainframe.,,,,48
OFFICE OF THE COMPTROLLER,Law and Adjustment,Claims Information Management Systems,1988,Claims against New York City and Health and Hospitals Corp.,"Claimants names and contact information, claim numbers, occurrence date, and site information, claim review dates, agency codes, attorney names and contract information, statutory and contractual limit dates, settlement/judgment amounts, court and file folder location codes, SOH hearing dates, litigation dates.",,,,50
OFFICE OF THE COMPTROLLER,Financial Analysis,Cash Flow,1979,Information on changes to amounts in city accounts.,Cash flows by matrix IDs and flow numbers.,,,,50
OFFICE OF THE COMPTROLLER,citizens' Action Center,Citizen Action complaint System,n/a,Listing of complaints Filed with the Comptroller.,"Names and addresses of citizens filing complaints with codes for actions, sources; dates for received, posting, pending and closing.",,,,50
OFFICE OF THE COMPTROLLER,FISA,Bond Refund System,1979,Tapes of employee payroll information on savings bond purchases.,SSN's surnames and initials; and installment amounts.,,,,51
OFFICE OF THE COMPTROLLER,Accountancy,Bank Account Haster Record,n/a,Listing of All City Agency Bank Accounts Coded by Investment Type.,"Names and addresses of agencies and banks; acct. no, status, purpose (investment, expense, trust); custodian name, address.",,,,51
OFFICE OF THE COMPTROLLER,Asset Management,Automated Investment Management System,n/a,Pension Fund Investment Management reporting and control.,Investment/Transaction Executive Information. statistical reports and actual investments. -----------1I AGENCY: Office of the NYC Comptroller Page 3 of 7 I,,,,51
OFFICE OF THE COMPTROLLER,Asset Management,Short Term Investment Reporting system (STIRS),n/a,"EFTA, Financial Investments and Management Reporting.","Collateral, coupons, holdings, pricing.",,,,52
OFFICE OF THE COMPTROLLER,"Various Users (Board of Ed., etc.)",Miscellaneous Payroll,1978,Employee Payroll,"Payroll for proctors, miscellaneous refunds, etc. Run from various tapes, esp. Board of Ed.",,,,52
OFFICE OF THE COMPTROLLER,Accountancy,Funded Debt,1980,Revenue and Expenditure statistics.,Bond issue information.,,,,52
OFFICE OF THE COMPTROLLER,Accountancy,Lease Expense/Income,1985,Leases of City and Private property.,"Landlords' and premises' addresses, contract periods, account f's, block and lot f's.",,,,53
OFFICE OF THE COMPTROLLER,FISA/OPA,Historic System,1973,Phase II Payroll for those small agencies not served by PHS.,Payroll data.,,,,53
OFFICE OF THE COMPTROLLER,Office of Payroll Administration,Garnishee,1973,Revisions to employee pay amounts.,"Tapes from CDCSA contain employees' and creditors' names, jUdgment numbers and amounts.",,,,53
OFFICE OF THE COMPTROLLER,Accountancy,Fixed Assets,1980,Inventory Information.,"community service districts, acquisition dates and methods, asset types, agency codes and map references.",,,,54
OFFICE OF THE COMPTROLLER,Office of Contract Administration,Contract Administration and Tracking System,n/a,Purchase and service contract registration information.,"Vendor names, contract periods, items and amounts, user agencies.",,,,54
OFFICE OF THE COMPTROLLER,Office of Labor Relations,Deferred Wages Repayment,1984,City employee deferred compensation.,"Names, beneficiaries, past salaries. ,-----------------------------------------------~----- ----------1I AGENCY: Office of the NYC Comptroller Page 6 of 7 I",,,,54
OFFICE OF THE COMPTROLLER,Claims and Adjudications/Labor Law Div./BLA,Prevailing Wage Rates,1987,Prevailing wages rates for unionized trades.,"Names, SSNs and other dat .. and statistics-extracted from State U.I. database.",,,,55
OFFICE OF THE COMPTROLLER,Administration,Directive 6 Reimbursement Account,n/a,Individual employee expense budget expenditures.,"Employee names, SSNs and expense amounts by category.",,,,55
OFFICE OF THE COMPTROLLER,Retirement systems,Pension Related Applications,n/a,All applications drawing upon pension payroll database.,"All pension payroll database-related applications inclUding W4P, Welfare Benefits, Medicare, W2P and 1099R System, Pension On-Line Inquiry.",,,,55
OFFICE OF THE COMPTROLLER,Law Department,Workers' Compensation,,Recipient Data.,"Employee and provider names, addresses, check amounts and SSNS/EXNS.",,,,56
OFFICE OF THE COMPTROLLER,Accountancy,Security Deposit,1976,Contractors' payments of deposits,Names and addresses of depositors plus amount deposited.,,,,56
DEPARTMENT OF CONSUMER AFFAIRS,,Consumer Affairs Management Information System,1988,"CANIS is the agency's informational centerpiece. It is an on-line and batch system which captures all major agency activities: Licensing Functions; Enforcement Functions; Complaint Functions; Case processing Functions; Collection Functions; system Maintenance and Control Functions. The system allows the agency to collect data in all the areas. The batch portion of the .system allows the user to obtain reports on demand that are general MIS reports of agency functions. The agency mas the ability through the system to determine its position in the areas of revenue, licenses issued, cases adjudicated, and collection/account receivables.","Licenses/Permits, Inspections/Violations, Weights , Measures, Public Non-Compliance Summons, Vendor payments, Revenue Collection, Local Law compliance Inspection, Fine Collections/ Accounting, Sidewalk Cafe Franchise Holders, Sidewalk Cafe Franchise payment, Freedom of Information, Tracking and processing Public complaints, Business/commercial Listings.",,,,58
OFFICE OF CONTRACTS,,Vendor Information Exchange System (VENDEX),April 1990,"VENDEX records information on vendors that do business with the City. This information includes background, contract, performance and caution data. Agencies review the information on VENDEX prior to contract award to assist them in determining whether a potential vendor is responsible.","City vendors, capital construction contracts, other contracts, purchase contracts, service contracts, bid information, caution information.",,,,60
DEPARTMENT OF CORRECTION,,Cashier/Commissary system,1982,This system maintains accounts in a legal trust for inmates. Inmates are legally entitled to weekly access to their accounts which can be debited either towards credit to another inmate or towards purchase of consumer goods from the commissary. Any balance is paid in cash to inmates upon their release from incarceration.,"Inmate reports/statistics, inmates, inmate bank balances, inmate purchases, commissary inventory.",,,,62
DEPARTMENT OF CORRECTION,,Inmate Information system,1979,"To track inmates from admission to discharge as they are moved to courts and hospitals, etc. Maintains case, warrant, identification, classification and other information.","Inmate reports/statistics; identification; admission/transfer/ discharge: dates, times , locations; cases and warrants; classification; inmate histon; housing.",,,,62
DEPARTMENT OF CORRECTION,,Inmate Infractions,1990,To maintain a history of infractions of departmental rules by inmates for determination of classification during current and future incarceration.,"Inmates, violent infractions, disciplinary action, inmate reports/statistics.",,,,62
DEPARTMENT OF CORRECTION,,Inmate Intake Monitoring System,1989,"To ensure that all newly admitted inmates are given a medical examination and are assigned a bed within 24 hours, according to legal requirements.","Inmate reports/statistics, new admission inmates, admission date/time, housing date/time.",,,,63
