agency_slug,agency_name,agency_name_verbatim,address,public_liaison,liaison_title,phone_numbers,application_count,pdf_page
labor-relations,Office of Labor Relations,OFFICE OF LABOR RELATIONS,"40 Rector Street, New York, N.Y., 10006","Emlen Goodman, Director of Systems","Jean N. Brewer, Records Access Officer",212-306-7200; 212-306-7202; 212-306-7345; 212-306-7270,2,113
landmarks,Landmarks Preservation Commission,LANDMARKS PRESERVATION COMMISSION,"225 Broadway, New Y~rk, N.Y., 10007",Fred DeLeon,Records Access Officer,212-553-1100; 212-513-1618; 212-553-1119,1,115
law,Law Department,LAW DEPARTMENT,"100 Church Street, New York, New York, 10007",La urence A. Levy,Records Access Officer,212-788-0303; 212-788-0367; 212-788-0400,2,117
loft-board,NYC Loft Board,NYC LOFT BOARD,"1 Centre Street, #2358, New York, N.Y., 10007",Public Information Unit,,212-669-4373; 212-669-4408; 212-669-4373,1,119
omb,Office of Management & Budget,OFFICE OF MANAGEMENT & BUDGET,"75 Park Place, New York, N.Y., 10007",Karen Szurek,Director of Public Affairs,212-788-5800; 212-788-6300; 212-788-5905,4,121
mental-health,"Department of Mental Health, Mental Retardation and Alcoholism Services","DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES","93 Worth Street, New York, N.Y., 10013",Donna Ball,Assistant Commissioner,212-334-2081; 212-941-0794; 212-334-1170,5,126
parks,Department of Parks and Recreation,DEPARTMENT OF PARKS AND RECREATION,"830 Fifth Avenue, Room 305, New York, N.Y., 10021",Majorie Cadogan,General Counsel,212-360-8111; 212-360-1339; 212-360-1313,9,129
personnel,Department of Personnel,DEPARTMENT OF PERSONNEL,"2 Washington Street, New York, N.Y., 10004",Richard Cunningham,Records Access Officer,212-487-5779; 212-487-5781; 212-487-6664,7,134
police,Police Department,POLICE DEPARTMENT,"One Police Plaza, New York, N.Y., 10036",Susan Rosenberg,"Assistant Commissioner, Civil Matters Office of Deputy Commissioner Legal Matters",212-374-5336; 212-571-5164; 212-374-5336,0,138
probation,Department of Probation,DEPARTMENT OF PROBATION,"115 Leonard Street, New York, N.Y., 10013",Karl Reinsons,"Director, Management Information Systems",212-374-3110; 212-374-3256; 212-374-3613,2,140
deputy-mayor-public-safety,Office of the Deputy Mayor for Public Safety (formerly the Office of the Coordinator of Criminal Justice),"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)","250 Broadway, 14th Floor, New York, N.Y., 10007",Cynthia Peterson,Executive Assistant - CJIS,212-788-6764; 212-788-6815; 212-788-6801,4,142
records,Department of Records and Information Services,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,"31 Chambers Street, New York, N.Y., 10007",William Considine,Director of Administration,212-788-8600; 212-788-8622,1,145
sanitation,Department of Sanitation,DEPARTMENT OF SANITATION,"125 Worth Street, New York, N.Y., 10013",Frank Valentino,General Counsel,212-566-1066; 212-837-8130,2,147
sheriff,Office of the City Sheriff,OFFICE OF THE CITY SHERIFF,"31 Chambers Street, New York, N.Y., 10007",Jeannette McNulty,Executive Assistant to the Sheriff,212-788-8730; 212-788-8734,3,149
tlc,Taxi and Limousine Commission,TAXI AND LIMOUSINE COMMISSION,"221 W. 41st Street, New York, N.Y., 10036",Manuel Bu,Director - Management Information Systems,212-840-4520; 212-840-5322; 212-840-4194,4,151
telecommunications-energy,Department of Telecommunications and Energy,DEP AR TMENT OF TELECOMMUNICATIONS AND ENERGY,"75 Park Place, 6th Floor, New York, N.Y., 10007","David E. Bronston, Esq.","General Counsel, Records Access Officer",212-788-6540; 212-788-6551; 212-788-6540,2,154
transportation,Department of Transportation,DEPARTMENT OF TRANSPORTATION,"40 Worth Street, New York, N.Y., 10013",Theresa Stahling,Assistant Commissioner,212-323-8575; 212-566-4027,33,156
youth-services,Department of Youth Services,DEPARTMENT OF YOUTH SERVICES,"44 Court Street, Brooklyn, N.Y., 11201",E.S. Blecher,Director - Management Information Systems,718-330-0442; 718-403-5241,1,168
