agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
DEPARTMENT OF BUILDINGS,,BIS-property Profile Tracking Module,1989,"This module tracks a wide variety of information for every building in the five boroughs, inclUding geographical data, all applications processed and permits received, violations, owner­ ship data, landmarks designations, land use and finance data.","Building applications/certificates/permits, building constructions, building code inspections/violations, building demolitions, building modifications/repairs, address directory, geographics/maps, land use, landmark sites, landmark structures, management reporting, city owned properties, property owners.",,,,24
DEPARTMENT OF BUILDINGS,,Boiler and Elevator Periodic Reinspection,3/85,Reinspection of Boilers and Elevators that were in violation of the building codes. These reinspections are billed.,"Public safety inspections, building code inspections/ violations, miscellaneous billings.",,,,25
DEPARTMENT OF BUILDINGS,,Boiler Inspection Billing system,12/82,Tracks the annual inspection and billing of boilers.,"Miscellaneous billings, public safety inspections, building code inspections/violations.",,,,25
DEPARTMENT OF BUILDINGS,,Boiler Inspection Routing and Query system,2/85,This is an on-line system which produces routing of periodic boiler inspections and monitors inspection dispositions.,"Public safety inspections, miscellaneous billings, building code inspections/violations.",,,,25
DEPARTMENT OF BUILDINGS,,Construction site safety System,6/85,Tracks compliance with safety codes for high rise construction of new buildings within the city.,"Building constructions, noise complaints/violations.",,,,25
DEPARTMENT OF BUILDINGS,,Electrical Control Inspection System,4/85,"This system tracks the flow of Bureau of Electrical Control (BEC) Applications for electrical work from initiation throuqh inspection and certificate issuance, including generation of work permits and violation notices. System calculates and tracks fees and generates monthly accounting/billing statements. Modules handle ""tracking"" of electricians and corporations, licensing, geo-graphical inspector routing and information center activities.","Building code inspections/violations, electrical licenses/ permits, miscellaneous billings, public safety inspections.",,,,26
DEPARTMENT OF BUILDINGS,,Elevator Inspection Billing system,12/82,"This batch system generates bills for the periodic inspection of elevators, which are inspected and billed twice a year.","Miscellaneous billings, public safety inspections, building code inspections/violations.",,,,26
DEPARTMENT OF BUILDINGS,,Loft system,12/83,Tracking of all lofts in the City of New York. Used to determine if loft complied with requlations or if violations were issued.,Loft board licenses/permits.,,,,26
DEPARTMENT OF BUILDINGS,,Environmental Control Board,1987,This module is an interface between DEP's BARAHIS system and BIS. All ECB construction violations are down loaded niqhtly from DEP's violation trackinq system and updated on BIS.,"Manaqement reportinq,"" structural non-compliance summons.",,,,27
DEPARTMENT OF BUILDINGS,,Manaqement Report,1986,summarizes operatinq performance by aqqreqate productivity and production within aqency operatinq divisions.,"Miscellaneous statistics, research/planninq, manaqement reportinq, public safety inspections, buildinq/structure inspections, other complaints, buildinq code inspections/ violations, buildinq applications/certificates/permits.",,,,27
DEPARTMENT OF BUILDINGS,,Illuminated siqn Permit and Fee Billinq System,12/84,This is a batch proqram that bills and produces illuminated siqn permits for all the illuminated siqns in the 5 borouqhs.,"Miscellaneous billinqs, fee collections/accountinq, public safety inspections.",,,,27
DEPARTMENT OF BUILDINGS,,On-line Elevator Billing System,1988,Routes and monitors inspection dispositions associated with the inspection of elevator devices. Provides for the hilling of periodic inspections.,"Building code inspections/violations, public safety inspections, miscellaneous hillings.",,,,28
DEPARTMENT OF BUILDINGS,,Local Law 5 - Low Rise Buildings,4/84,Tracking of all huildings helow 100 ft. that had to comply with sprinkler requirements set forth in Local Law 5.,"Inspection reports, pUhlic safety inspections, local law compliance inspections, city managed properties.",,,,28
DEPARTMENT OF BUILDINGS,,Local Law 5 of 73 - High Rise Buildings,1982,Tracking of all huildings over 100 ft. that had to comply with sprinkler requirements set forth in Local Law 5.,"Safety non-compliance summons, public safety inspections, local law compliance inspections, inspection reports.",,,,28
DEPARTMENT OF BUILDINGS,,Local Law 10/80,1982,"compliance trackinq of all buildinqs over 6 stories, whose owners are required to arranqe for a facade inspection by a reqistered architect or professional enqineer every 5 years. A report of the inspection must be filed with the Department.","Inspection reports, public safety inspections, local law compliance inspections, safety non-compliance summons, structural non-compliance summons.",,,,29
DEPARTMENT OF BUILDINGS,,Local Law 41 of 78,3/83,Trackinq of all F4C (CABARETS) in the City of New York to monitor compliance with requirements set forth in Local Law 41.,"city manaqed properties, public safety inspections, local law compliance inspections, inspection reports.",,,,29
DEPARTMENT OF BUILDINGS,,Local Law 16 of 84,8/87,This module of the BIS system tracks the compliance of properties subject to Local Law 16/84 - Fire Safety.,"Local law compliance inspections, safety non-compliance summons.",,,,29
DEPARTMENT OF BUILDINGS,,On-Line Handatory Elevator Inspection Tracking system,1988,All elevators must be inspected by a private company once a year and the company files a report with the Department. Owners of buildings for which no report is received are subject to violation and fines.,"Building code inspections/violations, public safety inspections, public facilities inspections.",,,,30
DEPARTMENT OF BUILDINGS,,Plumbing Licensing System,1983,"Tracks and issues licenses to plumbers, and private elevator inspectors, sign hangers, and fire suppression.",Plumbing licenses.,,,,30
DEPARTMENT OF BUILDINGS,,Public Assembly Permit Billing System,5/85,PAiS are inspected annually for public safety. A permit is issued to those that pass the inspection and a permit fee is billed.,"Public facilities inspections, public safety inspections, building code inspections/violations, miscellaneous billings. ----------1I AGENCY: Department of Buildinqs Paqe 10 of 10 I",,,,30
DEPARTMENT OF BUILDINGS,,Saturday Variance,4/85,Trackinq of work permits which allow a Contractor to work after the normal workinq hours and on weekends when such activities serve to protect the public.,". Buildinq constructions, noise complaints/violations.",,,,31
DEPARTMENT OF BUSINESS SERVICES,,Company Trackinq System,1987,This is an aqency wide database that tracks contacts that we have had with businesses requestinq our services.,"Company trackinq system, business listinq, manaqement reportinq.",,,,33
DEPARTMENT OF BUSINESS SERVICES,,Procurement Outreach Proqram,1987,This database contains information on companies and the commodities they offer for sale.,"Vendor directory, contract trackinq, eliqibility control, client trackinq.",,,,33
DEPARTMENT OF BUSINESS SERVICES,,Bondinq Technical Assistance,1990,This is a listinq of contractors who requested services from this aqency and were assisted.,"Business listinq, vendor listinq, contractor directory, client trackinq, financial statistics.",,,,33
DEPARTMENT OF BUSINESS SERVICES,,Energy Cost Savings Program,1991,This is a tracking system of businesses that are receiving the benefits that this program provides.,"Business listinq, financial/demoqraphic statistics, client tracking.",,,,34
DEPARTMENT OF BUSINESS SERVICES,,Economic Development Zones,1991,A listing of businesses in the 4 currently defined EDZs that are eligible for services administered by this agency.,"Business listinq, demoqraphic/financial statistics, client trackinq.",,,,34
DEPARTMENT OF BUSINESS SERVICES,,Local Development corporations,1988,This is a listing of the LDCs throuqhout the city and the boundaries for the areas that they administer.,Business listinq.,,,,34
DEPARTMENT OF BUSINESS SERVICES,,Contractor Workforce Analysis,,This is a database of demographic data concerninq the labor force of the companies that do business with the city.,"Demographic statistics, popUlation statistics, equal employment opportunity records/statistics, contractor directory.",,,,34
DEPARTMENT OF BUSINESS SERVICES,,"Division of Economic , Financial opportunity (DEFO) certified companies",1987,"This is a tracking system to follow up certification processing of companies that are eligible for DEFO services, and is used to produce a directory of certified firms for distribution to procurement officers.","Application processing, business listing, vendor directory, commodities directory, mailing directories.",,,,35
DEPARTMENT OF BUSINESS SERVICES,,DEFO Contract Compliance,1992,This is a database that tracks contracts that are awarded by City agencies to DEFO certified firms.,"Contractor directory, contractor payments, services contracts, purchase contracts.",,,,35
DEPARTMENT OF BUSINESS SERVICES,,Integrated Work Permits/Inspection System,,This is a database that contains information regarding inspections that were performed and violations that were issued for certain building sites.,"Building applications/certificates/permits, buildings/ structures inspections, building code inspections/violations, environmental inspections/violations, public facilities inspections, quality control inspections, inspection reports, fee collections/accounting, building construction, building demolition, building modifications , repairs. -----~----II AGENCY: Department of Business Services Paqe 4 of 4 I",,,,35
DEPARTMENT OF BUSINESS SERVICES,,Parkinq Violations,,This is a listinq of parkinq violations that were issued by this aqency on sites that are inspected by our staff.,Parkinq summons.,,,,36
DEPARTMENT OF BUSINESS SERVICES,,"Criminal, Violations",,This is a trackinq system for summonses and violations that this office issues.,"Summons processinq, violations trackinq, inspections trackinq, crimes.",,,,36
DEPARTMENT OF BUSINESS SERVICES,,Wharfaqe,,This is a database that is used for reqisterinq charqes accrued by vessels tyinq up at city owned wharfaqe sites.,Tenant accountinq.,,,,36
DEPARTMENT OF BUSINESS SERVICES,,Film site Permits,,This is a database that tracks permits issued and related fees collected for filminq sites in New York City.,"Film permits, motion pictures, fee collection.",,,,36
NEW YORK CITY CAMPAIGN FINANCE BOARD,,campaiqn Finance Information System (IICFISII),1989,"This system stores participatinq candidates' financial information as reported to the Campaiqn Finance Board by the campaiqn committees. This system is used to calculate public fund payments to qualifyinq candidates, monitor compliance with the Proqram's contribution and expenditure limits, public disclosure and other requirements, and assist the Board in conductinq desk and field audits of candidates' campaiqns. For public disclosure purposes, CFIS enables the Board to produce alphabetized reports of the campaiqn financial data candidates report to the Board. For hundreds of participatinq candidates for the 1989 and 1991 elections, CFIS was used to prepare the followinq pUblic disclosure reports which are available at the Board's Offices: 1) by contributor Name, 2)by contributor Employer Name, 3)by Intermediary Name, and 4)by Payee/vendor name.","1) CONTRIBUTIONS: a) contributor name and address, b) name and address of contributor's employer, if supplied, c) intermediary name and address, if supplied, d) date the contribution was received and the statement it was reported on, e) amount of contribution and, f) amount of contribution claimed by candidate as ""matchable"" or for purposes of meetinq the threshold. 2) EXPENDITURES: a) payee name, b) expenditure date and c) amount and purpose of the expenditure. AVAILABILITY NOTE: Available to the public. Please note that from election to election the fields and orqanization of the database may vary, as a result of chanqes in the campaiqn Finance Act, the campaiqn Finance proqram's reportinq requirements, and enhancements to the computer system.",,,,38
DEPARTMENT OF CITY PLANNING,,"GEOSUPPORT XNFORMATXON SYSTEM (GXS) , RELATED",CARTOGRAPHXC FXLES 1982,"The Geosupport Xnformation system (GIS) is an inteqrated computer system of software and files that supports many of the qeoqraphic processinq needs common to New York City aqencies ' applications. It is accessed directly by other City computer applications on an IBM mainframe. The data files in GIS are, specially structured to be accessed directly only throuqh the GIS software. However, the data are accessible in the form of printed address directories, computer qenerated printed maps and a microcomputer-usable format on floppy disks that are for sale to the public.","The followinq are available for purchase throuqh the Department of City Planninq Bookstore, 22 Reade st., New York, NY 10007. Tele: [212] 720-3667. 1. Address Directories by Borouqh: A Borouqh Address Directory shows, for each street, the address ranqe on each block face, and the correspondinq 1980 census tract, 1990 census tract, Zip code, Community District, School District, Police Precinct, and Health Areas. There are also entries for alternative street names and some street name spellinq variants. 2. Printed Computer Generated Maps: 1990 Census Tract maps are available as a citywide map at, a scale of 1 inch =4,000 feet and for each borouqh at 1 inch =2,000 feet. (Note: These maps depict the census qeoqraphyonly, not demoqraphic data). 1990 Census Tract and Census Block maps are available at a scale of 1 inch =600 feet. A set of 44 sectional maps shows census tract boundaries and numbers, census block numbers, and street names. (Note: These maps depict the census qeoqraphy only, not demoqraphic data). City-owned and leased property from the 1991 Atlas of City Property: These 22 maps show all property that is owned and leased by the city of New York at a scale of 1 inch = 800 feet. Symbols depict properties hy use codes defined in the leqend with an abhreviated description of the property. Tax Block and Lot Maps are available as a booklet for each community district (except Staten Island). These publications contain detailed maps at a scale of 1 inch = 250 feet showinq hlock outlines and number, and tax lot outlines and numbers. 3. cartoqraphic Files on'Floppy Disks--Bytes of the Biq Apple (TM). Tax Block Files in DXF (TM) format for use with microcomputers runninq DOS. These have tax hlock outlines, tax hlock numbers and street names. They can he used with any CAD or mappinq software that can import DXF files. Tax Block files in Illustrator 88 (TM) format for use on Apple MacIntosh (R) computers. 'These files have tax hlock outlines, tax hlock numbers and street names. They can only he used with Adohe Illustrator 88 (TM) •• software. LION single Line.street Base M~p Files in Maplnfo ~ format for use w1th DOS operat1nq system. These f1les have the city'S street qeoqraphy on seven floppy disks. The files contain street names, address ranqes and qeoqraphic locations expressed in New York East State Plane Coordinates. These files can only he used with MapInfo (R) •••software. • Bytes of the Biq Apple is a trademark of the Department of City Planninq • •• Illustrator 88 is a trademark of Adohe System, Inc. •••MapInfo is a reqistered trademark of the MapInfo corporation.",,,,40
DEPARTMENT OF CITY PLANNING,,LAND USE MANAGEMENT INFORMATION SYSTEM (LUMIS),1987,"LUMIS tracks ULURPand non-ULURP applications from receipt hy the Department of City Planninq throuqh final review hy the City Planninq Commission, City Council and the Mayor.","Application number; applicant; description of what application is for; type of application; location; address; community district(s); project name; fees collected; zoning map number; zoning resolution sections; related ULURP applications and CEQR information; and key dates and actions such as date received, date certified, and votes by community boards, borough presidents, City Planning Commission, and the City council. The data resides in a mainframe database system.",,,,41
DEPARTMENT OF CITY PLANNING,,"MXSLAND,",1979,"MISLAND is a report generation system used to obtain recent and historical land use, housing and population data about the City'S neighborhoods. Users may choose from over thirty standard report formats. Most of the data originates from other city agencies and is processed by City Planning for the MISLAND system.","Vacant structures; residential structures' vacancy rates; land use; property transactions; real estate tax arrearage; city owned and leased property inclUding property name and address, use, and responsible agency; residential construction, conversions and demolitions; land use acreage; building floor area; housing unit changes; assessed values; property market values; property address and location; property owner's name; building and lot dimensions; property sales aggregations; and selected 1970, 1980 and 1990 Census information -including housing, demographic, social and economic Characteristics.",,,"customized report(s) will be produced. Users must request the report name and list their geography either by Community District(s), census tract(s), or tax block(s) depending upon the report requested. Users may request a special report title and selection criteria such as year(s) of data, building classes, and summary criteria depending upon the requested report's available options. The charge per report is $25 for the first 100 pages and $10 for each additional 100 pages. MISLAND User's Manuals are available by calling (212) 720-3587.",42
DEPARTMENT OF CITY PLANNING,,HOUSING DATABASE,1980,"The Housing Database is a centralized and standardized source of information on city, state, federal and quasi-governmental housing and insurance programs. Its a historical file and contains data relevant to the housing's geographic location and physical characteristics; and information pertaining to the specific housing programs that fund or have funded the site. The data originates from other city, state and federal agencies and are processed by Cit~ Planning for the Housing Database.",Address; community district; tax block and lot; census tract and block; project name; number of stories; units; housing program name; type of program; program status; milestone dates; and government and private monies. The data resides in a mainframe database system.,,,"Upon written request, a Master Housing Database community District Report will be produced for each community district that has been requested. This report lists all buildings in the Housing Database by taxblock and lot, and inclUdes the building address, current number of units, and all housing programs that have or are currently funding the building and their most recent status and status date. Each report will contain information on a single community district. The cost is $25.00 for the first 100 pages, and $10 for each additional 100 pages of a report.",43
DEPARTMENT OF CITY PLANNING,,SELECTED PUBLIC FACILITIES FILE,1969,", FBI Index presents the seven FBI Index crimes on a quarterly basis by crime type, police precinct and community district and citywide rank order. Data oriqinate with the New York City Police Department.","Type of crime, police precinct, community district, borouqh total and citywide rank order for each crime type. The database resides on the CDCSA mainframe.",,,,43
DEPARTMENT OF CITY PLANNING,,FIRE :INCIDENTS AND MALICIOUS FALSE ALARK REPORTS,IVATED: 1971,"Fire reports present annual data for fire fiqhtinq and emerqency treatment activities by the Fire Department. Data oriqinate with the New York City Fire Department. DATA CONTENTS structural fires, non-structural fires and emerqencies, fire company area, community district, borouqh and citywide totals. The data resides on CDCSA mainframe.",,,,,44
DEPARTMENT OF CITY PLANNING,,IMMIGRATION DATA,1988,"Data from the annual tape files of the Immiqration and Naturalization Service (INS) on new immiqrants, defined as persons who have obtained status as permanent residents. ----------1I AGENCY: Department of City Planning Page 6 of 9 I","Data on the characteristics of immigrants include their age, sex, occupation and ZIP code of intended residence. The database resides on CDCSA mainframe.",,,,44
DEPARTMENT OF CITY PLANNING,,COMMUNITY DISTRICT PROFILES OF POPULATION AND HOUSING CENSUS DATA,1992,"Data are from the full count 1990 Census summary Tape Files for the city, the five boroughs and all 59 community districts.","A comprehensive list of variables from the full-count census questionnaire are included- age, sex, race and Hispanic origin, household and family type, and living arrangements among others. The database resides on CDCSA mainframe.",,,,45
DEPARTMENT OF CITY PLANNING,,POPULATION AND HOUSING CENSUS DATA FOR SELECTED SERVICE DISTRICTS,1992,"These reports provide selected data from the results of the full-count 1990 summary Tape Files for Health Areas, Health Center Districts, Councilmanic districts, Police precincts, School districts, and other geographic service areas.","A comprehensive list of variables from the full-count census questionnaire are included--age, sex, race and Hispanic origin, household and family type, and living arrangements among others. The database resides on CDCSA mainframe. ----------1I AGENCY: Department of City Planninq Paqe 7 of 9 I",,,,45
DEPARTMENT OF CITY PLANNING,,SOCIOECONOMIC DATA FROM THE 1990 CENSUS,1992,"The data will be prepared as a series of summary Tape File 3 tabUlations which will provide city, borouqh and census tract distributions for the hiqhest demand items in the decennial census. Tabulations will also be prepared for Health Areas and Health Center Districts. Community District tabUlations, alonq with those for other service areas, will be completed durinq the second half of 1992.","A comprehensive list of variables from the sample-count census questionnaire will be included-income, poverty status, education, journey to work, labor force status, occupation, industry and selected housinq Characteristics. The database resides on CDCSA mainframe.",,,,46
DEPARTMENT OF CITY PLANNING,,DEMOGRAPHIC AND SOCIOECONOMIC DATA FROM THE 1980 CENSUS,1985,"These data have been prepared as a series of summary Tape File 3 tabulations for the City, borouqhs, community districts and other selected service districts (e.q., health areas). Data are presented in both profile form for basic items and in detailed cross-tabulations. There are special cross­ classifications by race and Hispanic oriqin.",The larqe majority of variables in the 1980 Census have been compiled and cross- tabulated. Tabulations have been desiqned to address a multitude of specific issues of concern to city aqencies. The database resides on CDCSA mainframe.,,,,46
DEPARTMENT OF CITY PLANNING,,SCHOOL ENROLLMENT PROJECTIONS FXLE,1979,"The Selected School Enrollment projections File contains annual five- and ten-year public school enrollment projections for kindergarten grade through 9th grade by school district, and by borough for high schools. These total projections are related to existing and projected school capacity to identify potential shortfalls and the need for additional school seats. The projections are based on data files obtained from the New York City Board of Education and the State Education Department.","The data are presented by year, school level, school district, borough and city, numerical projections, grade-to-grade survival rates. The data resides in a mainframe data file maintained by the Social and Education Planning Division. The projections are used within the agency.",,,Projection components or summaries are available and are published in the text accompanying the City'S biennial 10-Year capital Strategy.,47
DEPARTMENT OF CITY PLANNING,,RESIDENTIAL FACXLITIES XN NEW YORK CXTY,1990,"The Residential Facilities database contains listings and other information for the following types of residential facilities: (1) residential health care, (2) correctional, (3) small residential care and temporary housing, (4) large temporary and transitional housing and (5) large residential care. These data are based on records and files of other city agencies and state agencies as well as those of City Planning.","Facility name, address, tax block and lot, community district, type of facility and number of beds. The data resides in a mainframe data file maintained by the Social and Education Planning Division. ----------1I AGENCY: Department of City Planning Page 9 of 9 I",,,"All the information plus summary statistical tables are published annually in a report called, Residential Facilities in New York City, which is available at the city Planning Bookstore, 22 Reade Street, New York, 10007.",47
DEPARTMENT OF CITY PLANNING,,POST CENSAL DEMOGRAPHIC ESTIMATES,1986,"Post-censal population estimates, birth and death projections are developed as needed to provide the necessary inputs for planning studies and analyses.","Current estimates and projections of total population by age, race and Hispanic origin according to sub-areas of the city (borough, community district); anticipated levels of births and deaths; and other variables such as housing or labor force are estimated or projected. The bulk of the data is stored in a mainframe computer system.",,,,48
DEPARTMENT OF CITY PLANNING,,FISCAL' GRANTS MANAGEMENT,1986,"Reimbursement vouchers from federal and state grantors; supporting schedules (hourly rates, overhead/OTPS costs analyses); project management reporting; bUdget estimates; grant applications, etc.",Budget/cost data derived from NYC's OMB-adopted expense/revenue bUdgets and NYMTC-approved project budgets/work programs for various years. The data reside on CDCSA mainframe.,,,,48
OFFICE OF THE COMPTROLLER,Law and Adjustment,Claims Information Management Systems,1988,Claims against New York City and Health and Hospitals Corp.,"Claimants names and contact information, claim numbers, occurrence date, and site information, claim review dates, agency codes, attorney names and contract information, statutory and contractual limit dates, settlement/judgment amounts, court and file folder location codes, SOH hearing dates, litigation dates.",,,,50
OFFICE OF THE COMPTROLLER,Financial Analysis,Cash Flow,1979,Information on changes to amounts in city acc9unts.,Cash flows by matrix IDs and flow numbers.,,,,50
OFFICE OF THE COMPTROLLER,citizens' Action Center,Citizen Action complaint System,n/a,Listing of complaints Filed with the Comptroller.,"Names and addresses of citizens filing complaints with codes for actions, sources; dates for received, posting, pending and closing.",,,,50
OFFICE OF THE COMPTROLLER,FISA,Bond Refund System,1979,Tapes of employee payroll information on savings bond purchases.,SSN's surnames and initials; and installment amounts.,,,,51
OFFICE OF THE COMPTROLLER,Accountancy,Bank Account Haster Record,n/a,Listing of All City Agency Bank Accounts Coded by Investment Type.,"Names and addresses of agencies and banks; acct. no, status, purpose (investment, expense, trust); custodian name, address.",,,,51
OFFICE OF THE COMPTROLLER,Asset Hanagement,Automated Investment Hanagement System,n/a,Pension Fund Investment Hanagement reporting and control.,Investment/Transaction Executive Information. statistical reports and actual investments. -----------1I AGENCY: Office of the NYC Comptroller Page 3 of 7 I,,,,51
OFFICE OF THE COMPTROLLER,Asset Management,Short Term Investment Reporting system (STIRS),n/a,"EFTA, Financial Investments and Management Reporting.","Collateral, coupons, holdings, pricing.",,,,52
OFFICE OF THE COMPTROLLER,"Various Users (Board of Ed., etc.)",Miscellaneous Payroll,1978,Employee Payroll,"Payroll for proctors, miscellaneous refunds, etc. Run from various tapes, esp. Board of Ed.",,,,52
OFFICE OF THE COMPTROLLER,Accountancy,Funded Debt,1980,Revenue and Expenditure statistics.,Bond issue information.,,,,52
OFFICE OF THE COMPTROLLER,Accountancy,Lease Expense/Income,1985,Leases of City and Private property.,"Landlords' and premises' addresses, contract periods, account f's, block and lot f's.",,,,53
OFFICE OF THE COMPTROLLER,FISA/OPA,Historic System,1973,Phase II Payroll for those small aqencies not served by PHS.,Payroll data.,,,,53
OFFICE OF THE COMPTROLLER,Office of Payroll Administration,Garnishee,1973,Revisions to employee pay amounts.,"Tapes from CDCSA contain employees' and creditors' names, jUdqment numbers and amounts.",,,,53
OFFICE OF THE COMPTROLLER,Accountancy,Fixed Assets,1980,Inventory Information.,"community service districts, acquisition dates and methods, asset types, agency codes and map references.",,,,54
OFFICE OF THE COMPTROLLER,Office of Contract Administration,Contract Administration and Tracking System,n/a,Purchase and service contract registration information.,"Vendor names, contract periods, items and amounts, user agencies.",,,,54
OFFICE OF THE COMPTROLLER,Office of Labor Relations,Deferred Wages Repayment,1984,City employee deferred compensation.,"Names, beneficiaries, past salaries. ,-----------------------------------------------~----- ----------1I AGENCY: Office of the NYC Comptroller Page 6 of 7 I",,,,54
OFFICE OF THE COMPTROLLER,Claims and Adjudications/Labor Law Div./BLA,Prevailing Wage Rates,1987,Prevailing wages rates for unionized trades.,"Names, SSNs and other dat .. and statistics-extracted from State U.I. database.",,,,55
OFFICE OF THE COMPTROLLER,Administration,Directive 6 Reimbursement Account,n/a,Individual employee expense bUdget expenditures.,"Employee names, SSNs and expense amounts by category.",,,,55
OFFICE OF THE COMPTROLLER,Retirement systems,Pension Related Applications,n/a,All applications drawing upon pension payroll database.,"All pension payroll database-related applications inclUding W4P, Welfare Benefits, Medicare, W2P and 1099R System, Pension On-Line Inquiry.",,,,55
OFFICE OF THE COMPTROLLER,Law Department,Workers' Compensation,,Recipient Data.,"Employee and provider names, addresses, check amounts and SSNS/EXNS.",,,,56
OFFICE OF THE COMPTROLLER,Accountancy,Security Deposit,1976,Contractors' payments of deposits,Names and addresses of depositors plus amount deposited.,,,,56
DEPARTMENT OF CONSUMER AFFAIRS,,Consumer Affairs Manaqement Information System,1988,"CANIS is the aqency's informational centerpiece. It is an on-line and batch system which captures all major aqency activities: Licensinq Functions; Enforcement Functions; Complaint Functions; Case processinq Functions; Collection Functions; system Maintenance and Control Functions. The system allows the aqency to collect data in all the areas. The batch portion of the .system allows the user to obtain reports on demand that are qeneral MIS reports of aqency functions. The aqency has the ability throuqh the system to determine its position in the areas of revenue, licenses issued, cases adjudicated, and collection/account receivables.","Licenses/Permits, Inspections/Violations, Weiqhts , Measures, Public Non-Compliance Summons, Vendor payments, Revenue Collection, Local Law compliance Inspection, Fine Collections/ Accountinq, Sidewalk Cafe Franchise Holders, Sidewalk Cafe Franchise payment, Freedom of Information, Trackinq and processinq Public complaints, Business/commercial Listinqs.",,,,58
OFFICE OF CONTRACTS,,Vendor Information Exchanqe System (VENDEX),April 1990,"VENDEX records information on vendors that do business with the City. This information includes backqround, contract, performance and caution data. Aqencies review the information on VENDEX prior to contract award to assist them in determininq whether a potential vendor is responsible.","City vendors, capital construction contracts, other contracts, purchase contracts, service contracts, bid information, caution information.",,,,60
